Feed Processing Summary:
   Total records processed	  2088
   Rejected               	 - 102
                          	=======
   Accepted               	  1986

original-record-number	sku	error-code	error-type	error-message
1002	SPEC-HP-HP564XL-Combo11	90205	Error	The value 'CB321WN, CN684WN, CB322WN, CR277WN, CB323WN, CN685WN, CB324WN, CN686WN, CB325WN, CN687WN' does not meet the maximum length limit for attribute '[model_number]'. in SKU: [SPEC-HP-HP564XL-Combo11]
1003	SPEC-HP-HP564XL-Combo9	90205	Error	The value 'CB321WN, CN684WN, CB323WN, CN685WN, CB324WN, CN686WN, CB325WN, CN687WN' does not meet the maximum length limit for attribute '[model_number]'. in SKU: [SPEC-HP-HP564XL-Combo9]
1007	SPEC-Kodak-30XL-Combo4	8541	Error	SKU SPEC-Kodak-30XL-Combo4, ASIN B00DYZGGVK, ('part_number' Merchant: '30XL-Combo4' / Amazon: 'Kodak_30XL_4PK'). The product_id provided with SPEC-Kodak-30XL-Combo4 corresponds to ASIN B00DYZGGVK, but some of the information submitted contradicts information in the Amazon catalog. If your product is the same as this ASIN, please modify your product data to reflect the following Amazon catalog values and resubmit. If your product is different than the ASIN, please check that the product_id is correct. If it is correct, please contact Seller Support for proper resolution.Feed ID: 0 For details, see http://sellercentral.amazon.com/gp/errorcode/8541
102	INK-Canon-BCI-1302BK	99037	Warning	The "UPC" (00013803019506) field contains an invalid value.
103	INK-Canon-BCI-1302C	99037	Warning	The "UPC" (00013803019490) field contains an invalid value.
104	INK-Canon-BCI-1302M	99037	Warning	The "UPC" (00013803019513) field contains an invalid value.
105	INK-Canon-BCI-1302PC	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/INK-Canon-BCI-1302PC.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
105	INK-Canon-BCI-1302PC	99037	Warning	The "UPC" (00013803019537) field contains an invalid value.
106	INK-Canon-BCI-1302PM	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/INK-Canon-BCI-1302PM.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
106	INK-Canon-BCI-1302PM	99037	Warning	The "UPC" (00013803019544) field contains an invalid value.
107	INK-Canon-BCI-1302Y	99037	Warning	The "UPC" (00013803019520) field contains an invalid value.
108	INK-Canon-BCI-1401BK	99037	Warning	The "UPC" (00013803019278) field contains an invalid value.
1080	TONER-Canon-7429A005AA	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Canon-7429A005AA.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
109	INK-Canon-BCI-1401C	99037	Warning	The "UPC" (00013803019384) field contains an invalid value.
1106	TONER-Dell-F362T	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Dell-F362T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
112	INK-Canon-BCI-1401M	99037	Warning	The "UPC" (00013803019391) field contains an invalid value.
113	INK-Canon-BCI-1401Y	99037	Warning	The "UPC" (00013803019407) field contains an invalid value.
114	INK-Canon-BCI-1411BK	99037	Warning	The "UPC" (00013803019438) field contains an invalid value.
115	INK-Canon-BCI-1411C	99037	Warning	The "UPC" (00013803019445) field contains an invalid value.
116	INK-Canon-BCI-1411M	99037	Warning	The "UPC" (00013803019452) field contains an invalid value.
117	INK-Canon-BCI-1411PC	99037	Warning	The "UPC" (00013803019476) field contains an invalid value.
118	INK-Canon-BCI-1411PM	99037	Warning	The "UPC" (00013803019483) field contains an invalid value.
1182	TONER-HP-C3909X	20009	Warning	110 minimum is required length on longest side, actual width of image submitted 101, actual height of image submitted 101 
119	INK-Canon-BCI-1411Y	99037	Warning	The "UPC" (00013803019469) field contains an invalid value.
1194	TONER-HP-C8543X	20009	Warning	110 minimum is required length on longest side, actual width of image submitted 107, actual height of image submitted 107 
120	INK-Canon-BCI-1431BK	99037	Warning	The "UPC" (00013803031386) field contains an invalid value.
121	INK-Canon-BCI-1431C	99037	Warning	The "UPC" (00013803031409) field contains an invalid value.
122	INK-Canon-BCI-1431M	99037	Warning	The "UPC" (00013803031416) field contains an invalid value.
123	INK-Canon-BCI-1431PC	99037	Warning	The "UPC" (00013803031430) field contains an invalid value.
124	INK-Canon-BCI-1431PM	99037	Warning	The "UPC" (00013803031447) field contains an invalid value.
125	INK-Canon-BCI-1431Y	99037	Warning	The "UPC" (00013803031423) field contains an invalid value.
1278	TONER-HP-CF283A	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-HP-CF283A.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1279	TONER-HP-CF283X	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-HP-CF283X.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
128	INK-Canon-BCI-15C	99037	Warning	The "UPC" (00013803020892) field contains an invalid value.
1280	TONER-HP-CF350A	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-HP-CF350A.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1281	TONER-HP-CF351A	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-HP-CF351A.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1282	TONER-HP-CF352A	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-HP-CF352A.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1283	TONER-HP-CF353A	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-HP-CF353A.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
129	INK-Canon-BCI-16C	99037	Warning	The "UPC" (00013803044409) field contains an invalid value.
130	INK-Canon-BCI-21BK	99037	Warning	The "UPC" (00750845720808) field contains an invalid value.
