Feed Processing Summary:
   Total records processed	 2104
   Rejected               	 - 20
                          	======
   Accepted               	 2084

original-record-number	sku	error-code	error-type	error-message
10	INK-Lexmark-13619HC	99037	Warning	The "UPC" (00734646132510) field contains an invalid value.
100	INK-BROTHER-LC02Y	99037	Warning	The "UPC" (00012502563754) field contains an invalid value.
1000	INK-Canon-BCI-3ePM	99037	Warning	The "UPC" (00750845725827) field contains an invalid value.
1001	INK-Canon-BCI-3eY	99037	Warning	The "UPC" (00750845725810) field contains an invalid value.
1006	INK-Canon-BCI-5PM-6PM	99037	Warning	The "UPC" (00750845726299) field contains an invalid value.
1007	ZINK-HP-51645A-C6578DN-Combo4	90117	Warning	The Description field contains an invalid value: Product InfoHP Cartridge Combo Pack: Three HP 45 Black 51645A Ink Cartridges & One HP 78 Tri Colo... The value exceeds the maximum number of characters allowed: 2000.
101	INK-BROTHER-LC03BKC	99037	Warning	The "UPC" (00012502525479) field contains an invalid value.
102	INK-BROTHER-LC03MY	99037	Warning	The "UPC" (00012502525493) field contains an invalid value.
1020	DW-HP-HP02-Combo13	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/DW-HP-HP02-Combo13-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1020	DW-HP-HP02-Combo13	90117	Warning	The Description field contains an invalid value: Product InfoWholesale Pricing on HP Photosmart InkCombo Pack of HP 02 ink cartridgesCompAndSave's... The value exceeds the maximum number of characters allowed: 2000.
1021	DW-BROTHER-LC51-Combo10	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/DW-BROTHER-LC51-Combo10-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1022	DW-Canon-PGI5CLI8-Combo12	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/DW-Canon-PGI5CLI8-Combo12-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1022	DW-Canon-PGI5CLI8-Combo12	99037	Warning	The "UPC" (00013803051056) field contains an invalid value.
1050	ZINK-HP-HP02-Combo7	90117	Warning	The Description field contains an invalid value: Product InfoWe carry a variety of Replacement Inkjet Cartridges models at the discount price with... The value exceeds the maximum number of characters allowed: 2000.
