Product Name	Manufacturer	Manufacturer Part Number	Categorization	Detailed Description	Selling Price	Availability	Product URL	Image URL	Shipping Cost	Product Condition	UPC	ISBN	Weight	SKU	GetBetterPrice	On Sale	MSRP	Promo_Type	Reward_Type	Promo_Amount	Promotion_Start_Date	Promotion_End_Date	Promotion_URL	Promotion_Comment	Combined Rebate	Promotion_Postmark_Date	Rebate_Title	Rebate_Limit	Coupon_Code	Bid	Bid Type	Retsku	Alternate Image URL	Video URL	Color	Size	Material	Gender	Rebate_or_Coupon	Parentsku
Replacement for Hewlett Packard C6615DN / C6615D (HP 15 Black) Ink Cartridge	Generic	C6615DN	Computers > Printers & Accessories > Ink & Toner	Product InfoHP 15 - C6615DN (Compatible) Black Printer Ink CartridgeWe carry a variety of Replacement Inkjet Cartridge models at the discount price with genuine quality and satisfaction. This high quality inkjet cartridge was professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that this Inkjet Cartridge will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel NameC6615DNProduct typeReplacement Inkjet CartridgeColorBlackContents47 mlCartridge duty cycle600 Page Yield @ 5%Quantity1 Inkjet Cartridge Compatible Printers with HP C6615DN Replacement Inkjet CartridgeHP DeskJet 3820HP DeskJet 3822HP DeskJet 810HP DeskJet 810CHP DeskJet 812 HP DeskJet 812CHP DeskJet 825HP DeskJet 825CHP DeskJet 825CvrHP DeskJet 840HP DeskJet 840CHP DeskJet 841HP DeskJet 841CHP DeskJet 842CHP DeskJet 843HP DeskJet 843CHP DeskJet 845HP DeskJet 845CHP DeskJet 845CvrHP DeskJet 920HP DeskJet 920CHP DeskJet 920CvrHP DeskJet 920CxiHP DeskJet 940HP DeskJet 940CHP DeskJet 940CvrHP DeskJet 948HP Digital Copier 310HP Fax 1230HP FAX 1230xiHP OfficeJet 1510A2LHP OfficeJet 5110HP OfficeJet 5110A2lHP OfficeJet 5110vHP OfficeJet 5110xiHP OfficeJet V40HP OfficeJet V40XiHP OfficeJet V45HP PSC 500HP PSC 500xiHP PSC 700HP PSC 750HP PSC 750xiHP PSC 900HP PSC 940HP PSC 950HP PSC 950vrHP PSC 950xiNote: The product image is for demonstrating purpose only. Actual product appearance may vary.	9.99	yes	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-HP-C6615DN&Click=16&utm_source=pricegrabber&utm_medium=shoppingengine	http://www.compandsave.com/v/vspfiles/photos/INK-HP-C6615DN-2T.jpg			25184204570		0.294375																			INK-HP-C6615DN								
Replacement for Hewlett Packard 51645a (HP 45 Black) Ink Cartridge	Generic	51645A	Computers > Printers & Accessories > Ink & Toner	Product InfoHP 45 - 51645A (Compatible) Black Ink CartridgeWe carry a variety of Replacement Inkjet Cartridge models at the discount price with genuine quality and satisfaction. This high quality inkjet cartridge was professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that this Inkjet Cartridge will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel Name51645AProduct typeReplacement Inkjet CartridgeColorBlackContents47 mlCartridge duty cycle833 Page Yield @ 5%Quantity1 Inkjet Cartridge Compatible Printers with HP 51645A Replacement Inkjet CartridgeHP Color Copier 100HP Color Copier 110HP Color Copier 120HP Color Copier 140HP Color Copier 145HP Color Copier 150HP Color Copier 155HP Color Copier 160HP Color Copier 170HP Color Copier 180HP Color Copier 190HP Color Copier 210HP Color Copier 210 LXHP Color Copier 260HP Color Copier 270HP Color Copier 280HP Color Copier 290Apple Color Stylewrite 6500HP DesignJet 350cdHP DesignJet 700HP DesignJet 750cHP DesignJet 750c PlusHP DesignJet 755HP DesignJet 755cmHP DeskJet 1000CHP DeskJet 1000CseHP DeskJet 1000CxiHP DeskJet 1100HP DeskJet 1100CHP DeskJet 1100CseHP DeskJet 1100CxiHP DeskJet 1120CHP DeskJet 1120CseHP DeskJet 1120CxiHP DeskJet 1125CHP DeskJet 1150CxiHP DeskJet 1180CHP DeskJet 1200HP DeskJet 1220 CseHP DeskJet 1220CHP DeskJet 1220C-PSHP DeskJet 1220CxiHP DeskJet 1250HP DeskJet 1600HP DeskJet 1600CHP DeskJet 1600CMHP DeskJet 1600CNHP DeskJet 6122HP DeskJet 6127HP DeskJet 710HP DeskJet 710CHP DeskJet 712HP DeskJet 712CHP DeskJet 720HP DeskJet 720CHP DeskJet 722HP DeskJet 722CHP DeskJet 782CHP DeskJet 815HP DeskJet 815CHP DeskJet 820HP DeskJet 820CHP DeskJet 820CseHP DeskJet 820CxiHP DeskJet 830HP DeskJet 830CHP DeskJet 832HP DeskJet 832CHP DeskJet 850HP DeskJet 850CHP DeskJet 850CxiHP DeskJet 855HP DeskJet 855CHP DeskJet 855CseHP DeskJet 855CxiHP DeskJet 870HP DeskJet 870CHP DeskJet 870CseHP DeskJet 870CxiHP DeskJet 880HP DeskJet 880CHP DeskJet 882HP DeskJet 882CHP DeskJet 890HP DeskJet 890CHP DeskJet 890CMHP DeskJet 890CSEHP DeskJet 890CxiHP DeskJet 895HP DeskJet 895CHP DeskJet 895CseHP DeskJet 895CxiHP DeskJet 930 HP DeskJet 9300HP DeskJet 930CHP DeskJet 932HP DeskJet 932CHP DeskJet 934CHP DeskJet 935HP DeskJet 935CHP DeskJet 950 HP DeskJet 950CHP DeskJet 952 HP DeskJet 952CHP DeskJet 955CHP DeskJet 959CHP DeskJet 960HP DeskJet 960CHP DeskJet 960CseHP DeskJet 960CxiHP DeskJet 970cHP DeskJet 970CseHP DeskJet 970CxiHP DeskJet 980CHP DeskJet 980CxiHP DeskJet 990CHP DeskJet 990cmHP DeskJet 990Cse HP DeskJet 990CxiHP DeskJet 995HP DeskJet 995CHP DeskJet 995ckHP Fax 1220HP Fax 1220xiHP OfficeJet 1170HP OfficeJet 1170cHP OfficeJet G55HP OfficeJet G55xiHP OfficeJet G85HP OfficeJet G85xiHP OfficeJet G95HP OfficeJet k60HP OfficeJet k60xiHP OfficeJet k80HP OfficeJet k80xiHP OfficeJet Pro 1150HP OfficeJet Pro 1150CHP OfficeJet Pro 1150CseHP OfficeJet Pro 1170HP OfficeJet Pro 1170CHP OfficeJet Pro 1170CseHP OfficeJet Pro 1170CxiHP OfficeJet Pro 1175HP OfficeJet Pro 1175CHP OfficeJet Pro 1175CseHP OfficeJet Pro 1175CxiHP OfficeJet R40HP OfficeJet R40XiHP OfficeJet R45HP OfficeJet R60HP OfficeJet R65HP OfficeJet R80HP OfficeJet R80XiHP OfficeJet T45HP OfficeJet T45xiHP OfficeJet T46HP OfficeJet T65HP OfficeJet T65xiHP PhotoSmart 1000HP PhotoSmart 1100HP PhotoSmart 1100xiHP PhotoSmart 1115 HP PhotoSmart 1115cvrHP PhotoSmart 1215HP PhotoSmart 1215vmHP PhotoSmart 1218HP PhotoSmart 1218xiHP PhotoSmart 1315HP PhotoSmart 1315vmHP PhotoSmart P1000HP PhotoSmart P1000xiHP PhotoSmart P1100HP PhotoSmart P1100xiHP PhotoSmart P1215HP PhotoSmart P1215vmHP PhotoSmart P1218HP PhotoSmart P1218xiNote: The product image is for demonstrating purpose only. Actual product appearance may vary.	9.99	yes	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-HP-51645A&Click=16&utm_source=pricegrabber&utm_medium=shoppingengine	http://www.compandsave.com/v/vspfiles/photos/INK-HP-51645A-2T.jpg			88698585177		0.274375																			INK-HP-51645A								
Remanufactured Black Inkjet Cartridge for Stylus Color 880 / 880i Printers - replaces Epson T019201	Generic	T019201	Computers > Printers & Accessories > Ink & Toner	Product InfoEpson T019201 (Compatible) Black Inkjet CartridgeWe carry a variety of Remanufactured Inkjet Cartridge models at the discount price with genuine quality and satisfaction. This high quality inkjet cartridge was professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that this Inkjet Cartridge will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel NameT019201Product typeRemanufactured Inkjet CartridgeColorBlackContents26 mlCartridge duty cycle1,000 Page Yield @ 5%Quantity1 Inkjet Cartridge Compatible Printers with Epson T019201 Remanufactured Inkjet CartridgeEpson Stylus Color 83Epson Stylus Color 880Epson Stylus Color 880iEpson Stylus Color 8Cubed Note: The product image is for demonstrating purpose only. Actual product appearance may vary.	2.99	yes	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T019201&Click=16&utm_source=pricegrabber&utm_medium=shoppingengine	http://www.compandsave.com/v/vspfiles/photos/INK-Epson-T019201-2T.jpg			10343832312		0.105625																			INK-Epson-T019201								
Remanufactured Color Inkjet Cartridge for Stylus Color 880 / 880i Printers - replaces Epson T020201	Generic	T020201	Computers > Printers & Accessories > Ink & Toner	Product InfoEpson T020201 (Compatible) Color Inkjet Cartridge for Stylus ColorWe carry a variety of Remanufactured Inkjet Cartridge models at the discount price with genuine quality and satisfaction. This high quality inkjet cartridge was professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that this Inkjet Cartridge will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel NameT020201Product typeRemanufactured Inkjet CartridgeColorTri-ColorContents38 mlCartridge duty cycle380 Page Yield @ 5%Quantity1 Inkjet Cartridge Compatible Printers with Epson T020201 Remanufactured Inkjet CartridgeEpson Stylus Color 83Epson Stylus Color 880Epson Stylus Color 880iEpson Stylus Color 8Cubed Note: The product image is for demonstrating purpose only. Actual product appearance may vary.	2.99	yes	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T020201&Click=16&utm_source=pricegrabber&utm_medium=shoppingengine	http://www.compandsave.com/v/vspfiles/photos/INK-Epson-T020201-2T.jpg			10343832329		0.16875																			INK-Epson-T020201								
Remanufactured Epson #69 T069220 (T0692) Cyan Pigment Based Ink Cartridge	Generic	T069220	Computers > Printers & Accessories > Ink & Toner	Product InfoEpson 69 T069220 (Compatible) Cyan Printer Ink Cartridge (T0692)We carry a variety of Remanufactured Inkjet Cartridge models at the discount price with genuine quality and satisfaction. This high quality inkjet cartridge was professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that this Inkjet Cartridge will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel NameT069220Product typeRemanufactured Inkjet CartridgeColorCyanContents9 mlCartridge duty cycle350 Page Yield @ 5%Quantity1 Inkjet Cartridge Compatible Printers with Epson T069220 Remanufactured Inkjet CartridgeEpson Stylus C120Epson Stylus CX5000Epson Stylus CX6000Epson Stylus CX7000FEpson Stylus CX7400Epson Stylus CX7450Epson Stylus CX8400Epson Stylus CX9400faxEpson Stylus CX9475faxEpson Stylus N11Epson Stylus NX100Epson Stylus NX105Epson Stylus NX11Epson Stylus NX110Epson Stylus NX115Epson Stylus NX200Epson Stylus NX215Epson Stylus NX300Epson Stylus NX305Epson Stylus NX400Epson Stylus NX410Epson Stylus NX415Epson Stylus NX510Epson Stylus NX515Epson Workforce 1100Epson Workforce 30Epson Workforce 310Epson Workforce 315Epson Workforce 40Epson Workforce 500Epson Workforce 600Epson Workforce 610Epson Workforce 615Note: The product image is for demonstrating purpose only. Actual product appearance may vary.	5.99	yes	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T069220&Click=16&utm_source=pricegrabber&utm_medium=shoppingengine	http://www.compandsave.com/v/vspfiles/photos/INK-Epson-T069220-2T.jpg			10343860551		0.09375																			INK-Epson-T069220								
Remanufactured Epson #69 T069320 (T0693) Magenta Pigment Based Ink Cartridge	Generic	T069320	Computers > Printers & Accessories > Ink & Toner	Product InfoEpson 69 / T069320 (Compatible) Magenta Ink Cartridge (T0693)We carry a variety of Remanufactured Inkjet Cartridge models at the discount price with genuine quality and satisfaction. This high quality inkjet cartridge was professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that this Inkjet Cartridge will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel NameT069320Product typeRemanufactured Inkjet CartridgeColorMagentaContents9 mlCartridge duty cycle350 Page Yield @ 5%Quantity1 Inkjet Cartridge Compatible Printers with Epson T069320 Remanufactured Inkjet CartridgeEpson Stylus C120Epson Stylus CX5000Epson Stylus CX6000Epson Stylus CX7000FEpson Stylus CX7400Epson Stylus CX7450Epson Stylus CX8400Epson Stylus CX9400faxEpson Stylus CX9475faxEpson Stylus N11Epson Stylus NX100Epson Stylus NX105Epson Stylus NX11Epson Stylus NX110Epson Stylus NX115Epson Stylus NX200Epson Stylus NX215Epson Stylus NX300Epson Stylus NX305Epson Stylus NX400Epson Stylus NX410Epson Stylus NX415Epson Stylus NX510Epson Stylus NX515Epson Workforce 1100Epson Workforce 30Epson Workforce 310Epson Workforce 315Epson Workforce 40Epson Workforce 500Epson Workforce 600Epson Workforce 610Epson Workforce 615Note: The product image is for demonstrating purpose only. Actual product appearance may vary.	5.99	yes	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T069320&Click=16&utm_source=pricegrabber&utm_medium=shoppingengine	http://www.compandsave.com/v/vspfiles/photos/INK-Epson-T069320-2T.jpg			10343860568		0.09375																			INK-Epson-T069320								
Remanufactured Epson #69 T069420 (T0694) Yellow Pigment Based Ink Cartridge	Generic	T069420	Computers > Printers & Accessories > Ink & Toner	Product InfoEpson 69 - T069420 (Compatible) Yellow Pigment Ink Cartridge (T0694)We carry a variety of Remanufactured Inkjet Cartridge models at the discount price with genuine quality and satisfaction. This high quality inkjet cartridge was professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that this Inkjet Cartridge will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel NameT069420Product typeRemanufactured Inkjet CartridgeColorYellowContents9 mlCartridge duty cycle350 Page Yield @ 5%Quantity1 Inkjet Cartridge Compatible Printers with Epson T069420 Remanufactured Inkjet CartridgeEpson Stylus C120Epson Stylus CX5000Epson Stylus CX6000Epson Stylus CX7000FEpson Stylus CX7400Epson Stylus CX7450Epson Stylus CX8400Epson Stylus CX9400faxEpson Stylus CX9475faxEpson Stylus N11Epson Stylus NX100Epson Stylus NX105Epson Stylus NX11Epson Stylus NX110Epson Stylus NX115Epson Stylus NX200Epson Stylus NX215Epson Stylus NX300Epson Stylus NX305Epson Stylus NX400Epson Stylus NX410Epson Stylus NX415Epson Stylus NX510Epson Stylus NX515Epson Workforce 1100Epson Workforce 30Epson Workforce 310Epson Workforce 315Epson Workforce 40Epson Workforce 500Epson Workforce 600Epson Workforce 610Epson Workforce 615Note: The product image is for demonstrating purpose only. Actual product appearance may vary.	5.99	yes	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T069420&Click=16&utm_source=pricegrabber&utm_medium=shoppingengine	http://www.compandsave.com/v/vspfiles/photos/INK-Epson-T069420-2T.jpg			10343860575		0.093125																			INK-Epson-T069420								
Remanufactured Epson PictureMate 200/240/280 Ink Cartridge Glossy Color - replace T5846	Generic	T5846	Computers > Printers & Accessories > Ink & Toner	Product InfoEpson T5846 (Compatible) Glossy Color Ink Cartridge for PictureMateWe carry a variety of Remanufactured Inkjet Cartridge models at the discount price with genuine quality and satisfaction. This high quality inkjet cartridge was professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that this Inkjet Cartridge will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel NameT5846Product typeRemanufactured Inkjet CartridgeColorGlossy ColorContentsN/A mlCartridge duty cycle150 Page Yield @ 5%Quantity1 Inkjet Cartridge Compatible Printers with Epson T5846 Remanufactured Inkjet CartridgeEpson PictureMate Charm PM 225Epson PictureMate Dash PM 260Epson PictureMate Flash PM 280Epson PictureMate Pal PM 200Epson PictureMate Show PM 300Epson PictureMate Snap PM 240Epson PictureMate Zoom PM 290Note: The product image is for demonstrating purpose only. Actual product appearance may vary.	10.99	yes	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T5846&Click=16&utm_source=pricegrabber&utm_medium=shoppingengine	http://www.compandsave.com/v/vspfiles/photos/INK-Epson-T5846-2T.jpg			10343858756		0.271875																			INK-Epson-T5846								
Brother Compatible LC61Bk Black Ink cartridge (LC61 Series)	Generic	LC61BK	Computers > Printers & Accessories > Ink & Toner	Product InfoBrother LC61BK (Compatible) Black Ink Cartridge (LC61 Series)We carry a variety of New Compatible Inkjet Cartridge models at the discount price with genuine quality and satisfaction. This high quality inkjet cartridge was professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that this Inkjet Cartridge will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel NameLC61BKProduct typeNew Compatible Inkjet CartridgeColorBlackContentsN/A mlCartridge duty cycle450 Page Yield @ 5%Quantity1 Inkjet Cartridge Compatible Printers with BROTHER LC61BK New Compatible Inkjet CartridgeBrother DCP-145CBrother DCP-165CBrother DCP-195CBrother DCP-197CBrother DCP-365CNBrother DCP-375CWBrother DCP-385CBrother DCP-385CWBrother DCP-395CNBrother DCP-585CWBrother DCP-J125Brother MFC-250cBrother MFC-255CWBrother MFC-290CBrother MFC-295CNBrother MFC-490CWBrother MFC-495CWBrother MFC-5490CNBrother MFC-5895CWBrother MFC-790CWBrother MFC-795CWBrother MFC-990CWBrother MFC-J220Brother MFC-J265WBrother MFC-J270WBrother MFC-J410WBrother MFC-J415WBrother MFC-J615WBrother MFC-J630WNote: The product image is for demonstrating purpose only. Actual product appearance may vary.	2.99	yes	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-BROTHER-LC61BK&Click=16&utm_source=pricegrabber&utm_medium=shoppingengine	http://www.compandsave.com/v/vspfiles/photos/INK-BROTHER-LC61BK-2T.jpg			12502620884		0.128125																			INK-BROTHER-LC61BK								
HP 564XL (Combo pack of 5) Remanufactured High Yield Hewlett Packard 564XL Ink Cartridges with Ink Level Indicator (1 Black, 1 Photo Black, 1 Cyan, 1 Magenta, 1 Yellow)	Generic	HP 564XL Combo5	Computers > Printers & Accessories > Ink & Toner	Product Info5-pack High Yield Remanufactured Ink Cartridges replace Hewlett Packard (HP 564XL)Remanufactured to be as efficient as the original, the HP 564XL 5 pack combo (1 Black, 1 Photo Black, 1 Cyan, 1 Magenta, 1 Yellow) performs with the same high yields as the name brand cartridges. Produce quality prints that resist fading without voiding your printers' warranty (as regulated by consumer rights law) while adding a 1 year-money back guarantee on your ink purchase. CompAndSave’s re-manufactured HP 564XL ink cartridges are also equipped with new “Ink Level Indicator'' chips that allow the system to monitor remaining ink, as well as helping to maintain ink consumption at a smart level.Product SpecificationModel NameCB321WN / CN684WN (Black)CB322WN / CR277WN (Photo Black)CB323WN / CN685WN (Cyan)CB324WN / CN686WN (Magenta)CB325WN / CN687WN (Yellow)Product typeReplacement Inkjet CartridgesColorBlack, Photo Black, Cyan, Magenta, YellowContentsN/A ml for Black6 ml for Photo Black, Cyan, Magenta & YellowCartridge duty cycle550 Page Yield @ 5% for Black290 Page Yield @ 5% for Photo Black750 Page Yield @ 5% for Cyan, Magenta & YellowQuantity5 Inkjet Cartridges Compatible Printers with HP 564XL Remanufactured Inkjet CartridgesHP PhotoSmart 5522HP PhotoSmart 5524HP PhotoSmart 7510HP PhotoSmart 7515HP PhotoSmart 7520HP PhotoSmart 7525HP PhotoSmart B8500HP PhotoSmart B8550HP PhotoSmart B8553HP PhotoSmart B8558HP PhotoSmart C309 SeriesHP PhotoSmart C309aHP PhotoSmart C309gHP PhotoSmart C310HP PhotoSmart C310aHP PhotoSmart C410aHP PhotoSmart C410bHP PhotoSmart C410eHP PhotoSmart C510HP PhotoSmart C510aHP PhotoSmart C5300HP PhotoSmart C5324HP PhotoSmart C5370HP PhotoSmart C5373HP PhotoSmart C5380HP PhotoSmart C5383HP PhotoSmart C5388HP PhotoSmart C5390HP PhotoSmart C5393HP PhotoSmart C6300HP PhotoSmart C6324HP PhotoSmart C6340HP PhotoSmart C6350HP PhotoSmart C6375HP PhotoSmart C6380HP PhotoSmart C6383HP PhotoSmart C6388HP PhotoSmart D5400 SeriesHP PhotoSmart D5445HP PhotoSmart D5460HP PhotoSmart D5463HP PhotoSmart D5468HP PhotoSmart D7500 SeriesHP PhotoSmart D7560HP PhotoSmart eStation All-in-OneHP PhotoSmart Premium All-in-OneHP PhotoSmart Premium e-All-in-OneHP PhotoSmart Premium FaxHP PhotoSmart Premium Fax All-in-OneHP PhotoSmart Premium Fax e-All-in-OneHP PhotoSmart TouchSmart WebNote: The product image is for demonstrating purpose only. Actual product appearance may vary.These high yield cartridges replace HP 564 standard version CN680WN & CB316WN (black), CR276WN & CB317WN (photo black), CN681WN & CB318WN (cyan), CN682WN & CB319WN (magenta) and CN683WN & CB320WN (yellow).	29.95	yes	http://www.compandsave.com/ProductDetails.asp?ProductCode=ZINK-HP-HP564XL-Combo5&Click=16&utm_source=pricegrabber&utm_medium=shoppingengine	http://www.compandsave.com/v/vspfiles/photos/ZINK-HP-HP564XL-Combo5-2T.jpg			886111234295		0.42																			ZINK-HP-HP564XL-Combo5								
