Unique Merchant SKU	MPN/ISBN	UPC or EAN	Brand / Manufacturer	Product Name	Product URL	Current Price	Category ID	Category	Sub-category	Parent SKU	Parent Name	Product Description	Stock Description	Product Bullet Point 1	Product Bullet Point 2	Product Bullet Point 3	Product Bullet Point 4	Product Bullet Point 5	Image URL	Alternative Image URL 1	Alternative Image URL 2	Alternative Image URL 3	Alternative Image URL 4	Alternative Image URL 5	Product Type	Style	Condition	Gender	Department	Age Range	Color	Material	Format	Sport or Activity	Team	League	Fan Gear Type	Software Platform	Software Category	Watch Display Type	Cell Phone Type	Cell Phone Service Provider	Cell Phone Plan Type	Cell Phone Usage Profile	Size	Size Unit of Measure	Product Length	Length Unit of Measure	Product Width	Width Unit of Measure	Product Height	Height Unit of Measure	Product Weight	Weight Unit of Measure	Unit Price	Top Seller Rank	Product Launch Date	Stock Availability	Shipping Rate	Shipping Weight	Zip Code	Estimated Ship Date	Original Price	Mobile URL	Coupon Code	Coupon Code Description	Merchandising Type	Bundle	Related Products	Custom1	Custom2	Custom3	Custom4	Custom5	Custom6	Custom7	Custom8	Custom9	Custom10	SKU Bid
INK-HP-C4930A	C4930A		Generic	Replacement for Hewlett Packard (HP) C4930A (HP 81) Dye Black Ink Cartridge - 680ml	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-HP-C4930A&Click=51974&utm_source=shopping&utm_medium=shoppingengine	59.99		Computers > Computer Accessories > Printer Accessories				Product InfoHewlett Packard HP 81 C4930A Replacement Dye Black Ink CartridgeWe carry a variety of Replacement Inkjet Cartridge models at the discount price with genuine quality and satisfaction. This high quality inkjet cartridge was professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that this Inkjet Cartridge will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel NameC4930AProduct typeReplacement Inkjet CartridgeColorBlackContents680 mlCartridge duty cycle1,000 Page Yield @ 5%Quantity1 Inkjet Cartridge Compatible Printers with HP C4930A Replacement Inkjet CartridgeHP DesignJet 5000HP DesignJet 5000 UVHP DesignJet 5000psHP DesignJet 5000ps UVHP DesignJet 5500HP DesignJet 5500 UVHP DesignJet 5500psHP DesignJet 5500ps UVNote: The product image is for demonstrating purpose only. Actual product appearance may vary./*  */							http://www.compandsave.com/v/vspfiles/photos/INK-HP-C4930A-2T.jpg								new																										5					yes		5																				
INK-HP-C4931A	C4931A		Generic	Replacement for Hewlett Packard (HP) C4931A (HP 81) Dye Cyan Ink Cartridge - 680ml	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-HP-C4931A&Click=51974&utm_source=shopping&utm_medium=shoppingengine	59.99		Computers > Computer Accessories > Printer Accessories				Product InfoHewlett Packard HP 81 C4931A Replacement Dye Cyan Ink CartridgeWe carry a variety of Replacement Inkjet Cartridge models at the discount price with genuine quality and satisfaction. This high quality inkjet cartridge was professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that this Inkjet Cartridge will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel NameC4931AProduct typeReplacement Inkjet CartridgeColorCyanContents680 mlCartridge duty cycle1,000 Page Yield @ 5%Quantity1 Inkjet Cartridge Compatible Printers with HP C4931A Replacement Inkjet CartridgeHP DesignJet 5000HP DesignJet 5000 UVHP DesignJet 5000psHP DesignJet 5000ps UVHP DesignJet 5500HP DesignJet 5500 UVHP DesignJet 5500psHP DesignJet 5500ps UVNote: The product image is for demonstrating purpose only. Actual product appearance may vary./*  */							http://www.compandsave.com/v/vspfiles/photos/INK-HP-C4931A-2T.jpg								new																										5					yes		5																				
INK-HP-C4932A	C4932A		Generic	Replacement for Hewlett Packard (HP) C4932A (HP 81) Dye Magenta Ink Cartridge - 680ml	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-HP-C4932A&Click=51974&utm_source=shopping&utm_medium=shoppingengine	59.99		Computers > Computer Accessories > Printer Accessories				Product InfoHewlett Packard HP 81 C4932A Replacement Dye Magenta Ink CartridgeWe carry a variety of Replacement Inkjet Cartridge models at the discount price with genuine quality and satisfaction. This high quality inkjet cartridge was professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that this Inkjet Cartridge will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel NameC4932AProduct typeReplacement Inkjet CartridgeColorMagentaContents680 mlCartridge duty cycle1,000 Page Yield @ 5%Quantity1 Inkjet Cartridge Compatible Printers with HP C4932A Replacement Inkjet CartridgeHP DesignJet 5000HP DesignJet 5000 UVHP DesignJet 5000psHP DesignJet 5000ps UVHP DesignJet 5500HP DesignJet 5500 UVHP DesignJet 5500psHP DesignJet 5500ps UVNote: The product image is for demonstrating purpose only. Actual product appearance may vary./*  */							http://www.compandsave.com/v/vspfiles/photos/INK-HP-C4932A-2T.jpg								new																										5					yes		5																				
INK-HP-C4933A	C4933A		Generic	Replacement for Hewlett Packard (HP) C4933A (HP 81) Dye Yellow Ink Cartridge - 680ml	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-HP-C4933A&Click=51974&utm_source=shopping&utm_medium=shoppingengine	59.99		Computers > Computer Accessories > Printer Accessories				Product InfoHewlett Packard HP 81 C4933A Replacement Dye Yellow Ink CartridgeWe carry a variety of Replacement Inkjet Cartridge models at the discount price with genuine quality and satisfaction. This high quality inkjet cartridge was professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that this Inkjet Cartridge will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel NameC4933AProduct typeReplacement Inkjet CartridgeColorYellowContents680 mlCartridge duty cycle1,000 Page Yield @ 5%Quantity1 Inkjet Cartridge Compatible Printers with HP C4933A Replacement Inkjet CartridgeHP DesignJet 5000HP DesignJet 5000 UVHP DesignJet 5000psHP DesignJet 5000ps UVHP DesignJet 5500HP DesignJet 5500 UVHP DesignJet 5500psHP DesignJet 5500ps UVNote: The product image is for demonstrating purpose only. Actual product appearance may vary./*  */							http://www.compandsave.com/v/vspfiles/photos/INK-HP-C4933A-2T.jpg								new																										5					yes		5																				
INK-HP-C4934A	C4934A		Generic	Replacement for Hewlett Packard (HP) C4934A (HP 81) Dye Light Cyan Ink Cartridge - 680ml	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-HP-C4934A&Click=51974&utm_source=shopping&utm_medium=shoppingengine	59.99		Computers > Computer Accessories > Printer Accessories				Product InfoHewlett Packard HP 81 C4934A Replacement Dye Light Cyan Ink CartridgeWe carry a variety of Replacement Inkjet Cartridge models at the discount price with genuine quality and satisfaction. This high quality inkjet cartridge was professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that this Inkjet Cartridge will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel NameC4934AProduct typeReplacement Inkjet CartridgeColorLight CyanContents680 mlCartridge duty cycle1,000 Page Yield @ 5%Quantity1 Inkjet Cartridge Compatible Printers with HP C4934A Replacement Inkjet CartridgeHP DesignJet 5000HP DesignJet 5000 UVHP DesignJet 5000psHP DesignJet 5000ps UVHP DesignJet 5500HP DesignJet 5500 UVHP DesignJet 5500psHP DesignJet 5500ps UVNote: The product image is for demonstrating purpose only. Actual product appearance may vary./*  */							http://www.compandsave.com/v/vspfiles/photos/INK-HP-C4934A-2T.jpg								new																										5					yes		5																				
ZTONER-Dell-7H53W-Combo10	7H53W		Generic	Compatible Dell 330-9523 (7H53W) 10-Pack High Yield Black Toner Cartridge for Dell 1130 Laser Printer	http://www.compandsave.com/ProductDetails.asp?ProductCode=ZTONER-Dell-7H53W-Combo10&Click=51974&utm_source=shopping&utm_medium=shoppingengine	394.90		Computers > Computer Accessories > Printer Accessories				Product InfoCompatible Dell 1130 High Yield Black Laser Toner CartridgeWe carry a variety of New Compatible Toner Cartridge models at the discount price with genuine quality and satisfaction. This high quality inkjet cartridge was professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that this Toner Cartridge will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel Name7H53WProduct typeNew Compatible Toner CartridgeColor10 BlackContentsN/A mlCartridge duty cycle2,500 Page Yield @ 5% coverage eachQuantity10 Toner Cartridges Compatible Printers with Dell 7H53W New Compatible Toner CartridgeDell 1130Dell 1130nDell 1133Dell 1135nNote: The product image is for demonstrating purpose only. Actual product appearance may vary.This toner cartridge 330-9523 2MMJP 7H53W replaces lower yield part numbers P9H7G and 330-9524./*  */							http://www.compandsave.com/v/vspfiles/photos/ZTONER-Dell-7H53W-Combo10-2T.jpg								new																										40					yes		40																				
ZINK-HP-H920XL-Combo10	HP 920XL	884420736769	Generic	Replacement for Hewlett Packard HP 920XL (HP920XL) Combo Pack of 10 Packs High Yield Ink Cartridges with working Ink Indicator Chips	http://www.compandsave.com/ProductDetails.asp?ProductCode=ZINK-HP-H920XL-Combo10&Click=51974&utm_source=shopping&utm_medium=shoppingengine	69.99		Computers > Computer Accessories > Printer Accessories				Product InfoWholesale Price on Replacement HP 920XL Combo Pack of 10This Replacement to the HP 920XL Inkjet cartridge is a Non-OEM ink-jet cartridges which have been through one cycle of service and has been recharged. They are Non-OEM products that have been modified and refurbished by a remanufacturer that is not endorsed or associated with HP. The replacement for HP 920XL ink cartridge has been thoroughly cleaned along with the printhead nozzles. Then the replacement for HP 920XL ink-cartridges is inspected for any possible shell leakage, tested on the operation of all electrical circuitry and finally the alternative to OEM HP 920XL is run through an actual print test.Product SpecificationModel NameCD975AN CD972AN CD973AN CD974ANProduct typeReplacement Inkjet CartridgesColor4 Black, 2 Cyan, 2 Magenta, 2 YellowContentsN/A mlCartridge duty cycle1200 Page Yield @ 5% for each Black,  700 Page Yield @ 5% for each ColorQuantity10 Inkjet Cartridges Compatible Printers with HP 920XL Combo Pack Replacement Inkjet CartridgesHP OfficeJet 6000 - E609aHP OfficeJet 6000 Wireless - E609nHP OfficeJet 6500 - E709aHP OfficeJet 6500 Wireless - E709nHP Officejet 6500A - E710aHP Officejet 6500A Plus - E710nHP OfficeJet 7000HP Officejet 7000 Wide Format - E809aHP Officejet 7500A Wide Format - E910aHP OfficeJet Pro 6500Note: The product image is for demonstrating purpose only. Actual product appearance may vary.							http://www.compandsave.com/v/vspfiles/photos/ZINK-HP-H920XL-Combo10-2T.jpg								new																										1.28875					yes		1.28875																				
ZINK-Lexmark-100XL-Combo10	Lexmark 100XL	734646966924	Generic	Compatible Lexmark 100XL (#100XL) Combo Pack of 10 High Yield Ink Cartridge for 14N1068 Black, 14N1069 Cyan, 14N1070 Magenta & 14N1071 Yellow.	http://www.compandsave.com/ProductDetails.asp?ProductCode=ZINK-Lexmark-100XL-Combo10&Click=51974&utm_source=shopping&utm_medium=shoppingengine	53.96		Computers > Computer Accessories > Printer Accessories				Product InfoSave More Than 30% with Our Compatible Lexmark 100XL Combo Pack!CompAndSave’s high-quality, professionally compatible Lexmark 100XL combo pack is the high yield version of Lexmark 100 (14N0820 Black, 14N0900 Cyan, 14N0901 Magenta, 14N0902 Yellow) and can be used to replace OEM. Lexmark 100XL ink cartridges. This combo pack consists of compatible Lexmark 100XL ink cartridges that have been professionally cleaned, rigorously inspected for possible shell leakage and tested for electrical circuitry operation. Once our strict standards are met, the compatible Lexmark 100XL ink cartridges undergo actual print tests, ensuring optimum printing quality. This quick-drying, pigment-based ink offers optimum performance and productivity with superior resistance to smudging and bleeding.These compatible Lexmark 100XL ink cartridges are non-OEM products that have been modified and by a factory that is not endorsed or associated with Lexmark.Product SpecificationModel Name14N1068, 14N1069, 14N1070, 14N1071Product typeCompatible HY Inkjet CartridgeColor4 Black, 2 Cyan, 2 Magenta, 2 YellowContents20.8 ml on black and 9.80 ml on each colorCartridge duty cycle600 Page Yield @ 5% on black510 Page Yield @ 5% on colorQuantity10 Inkjet Cartridges Compatible Printers with Lexmark (100XL) 14N1068, 14N1069, 14N1070, 14N1071 Compatible Inkjet CartridgesLexmark Impact S301Lexmark Impact S305Lexmark Interact S605Lexmark Interpret S405Lexmark Intuition S505Lexmark Pinnacle Pro901Lexmark Platinum Pro905Lexmark Prestige Pro805Lexmark Prevail Pro705Lexmark Prospect Pro205Lexmark Prospect Pro206Lexmark Prospect Pro207Lexmark S815 GenesisLexmark S816 GenesisNote: The product image is for demonstrating purpose only. Actual product appearance may vary.							http://www.compandsave.com/v/vspfiles/photos/ZINK-Lexmark-100XL-Combo10-2T.jpg								new																										0.94125					yes		0.94125																				
TONER-Xerox-106R01077	106R01077		Generic	Replacement 106R01077 High Yield Cyan Laser Toner Cartridge for Xerox Phaser 7400 Printer	http://www.compandsave.com/ProductDetails.asp?ProductCode=TONER-Xerox-106R01077&Click=51974&utm_source=shopping&utm_medium=shoppingengine	74.99		Computers > Computer Accessories > Printer Accessories				Product InfoReplacement 106R01077 Cyan Laser Toner Cartridge for Xerox Phaser 7400 PrinterWe carry a variety of Replacement Toner Cartridge models at the discount price with genuine quality and satisfaction. This high quality inkjet cartridge was professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that this Toner Cartridge will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel Name106R01077Product typeReplacement Toner CartridgeColorCyanContentsN/A mlCartridge duty cycle18,000 Page Yield @ 5%Quantity1 Toner Cartridge Compatible Printers with Xerox 106R01077 Replacement Toner CartridgeXerox Phaser 7400Xerox Phaser 7400DFXXerox Phaser 7400DNXerox Phaser 7400DTXerox Phaser 7400DXXerox Phaser 7400NNote: The product image is for demonstrating purpose only. Actual product appearance may vary.This 106R01077 replaces lower yield part number 106R1150.							http://www.compandsave.com/v/vspfiles/photos/TONER-Xerox-106R01077-2T.jpg								new																										10					yes		10																				
TONER-Xerox-106R01078	106R01078		Generic	Replacement 106R01078 High Yield Magenta Laser Toner Cartridge for Xerox Phaser 7400 Printer	http://www.compandsave.com/ProductDetails.asp?ProductCode=TONER-Xerox-106R01078&Click=51974&utm_source=shopping&utm_medium=shoppingengine	74.99		Computers > Computer Accessories > Printer Accessories				Product InfoReplacement 106R01078 Magenta Laser Toner Cartridge for Xerox Phaser 7400 PrinterWe carry a variety of Replacement Toner Cartridge models at the discount price with genuine quality and satisfaction. This high quality inkjet cartridge was professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that this Toner Cartridge will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel Name106R01078Product typeReplacement Toner CartridgeColorMagentaContentsN/A mlCartridge duty cycle18,000 Page Yield @ 5%Quantity1 Toner Cartridge Compatible Printers with Xerox 106R01078 Replacement Toner CartridgeXerox Phaser 7400Xerox Phaser 7400DFXXerox Phaser 7400DNXerox Phaser 7400DTXerox Phaser 7400DXXerox Phaser 7400NNote: The product image is for demonstrating purpose only. Actual product appearance may vary.This 106R01078 replaces lower yield part number 106R1151.							http://www.compandsave.com/v/vspfiles/photos/TONER-Xerox-106R01078-2T.jpg								new																										10					yes		10																				
