Product IDs	Titles	Image URLs	Landing page URLs	Prices	Descriptions	Product Categories	Taglines
DRUM-Brother-DR110CL	Brother DR110CL Laser Cartridge Drum Unit	http://www.comboink.com/v/vspfiles/photos/original/DRUM-Brother-DR110CL.jpg	http://www.comboink.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR110CL&utm_source=adroll&utm_medium=CPC&utm_campaign=liquidads	99.9900	Brother DR110CL Laser Cartridge Drum Unit	Electronics > Print, Copy, Scan & Fax Accessories > Printer Accessories > Printer Consumables > Toner & Inkjet Cartridges > Printer Drum Kits	Order your ink & toner cartridges at Comboink.com & save up to 80% instantly! Enjoy Free Shipping on any order $50 or more
DRUM-Brother-DR210CL	Brother DR210CL Laser Cartridge Drum Unit	http://www.compandsave.com/v/vspfiles/templates/10/images/nophoto.gif	http://www.comboink.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR210CL&utm_source=adroll&utm_medium=CPC&utm_campaign=liquidads	99.9900	Brother DR210CL Laser Cartridge Drum Unit	Electronics > Print, Copy, Scan & Fax Accessories > Printer Accessories > Printer Consumables > Toner & Inkjet Cartridges > Printer Drum Kits	Order your ink & toner cartridges at Comboink.com & save up to 80% instantly! Enjoy Free Shipping on any order $50 or more
DRUM-Brother-DR300	New Compatible Brother DR300 Drum	http://www.comboink.com/v/vspfiles/photos/original/DRUM-Brother-DR300.jpg	http://www.comboink.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR300&utm_source=adroll&utm_medium=CPC&utm_campaign=liquidads	74.9900	New Compatible Brother DR300 Drum	Electronics > Print, Copy, Scan & Fax Accessories > Printer Accessories > Printer Consumables > Toner & Inkjet Cartridges > Printer Drum Kits	Order your ink & toner cartridges at Comboink.com & save up to 80% instantly! Enjoy Free Shipping on any order $50 or more
DRUM-Brother-DR350	Brother DR350 Laser Cartridge Drum Unit	http://www.comboink.com/v/vspfiles/photos/original/DRUM-Brother-DR350.jpg	http://www.comboink.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR350&utm_source=adroll&utm_medium=CPC&utm_campaign=liquidads	36.9900	Brother DR350 Laser Cartridge Drum Unit	Electronics > Print, Copy, Scan & Fax Accessories > Printer Accessories > Printer Consumables > Toner & Inkjet Cartridges > Printer Drum Kits	Order your ink & toner cartridges at Comboink.com & save up to 80% instantly! Enjoy Free Shipping on any order $50 or more
DRUM-Brother-DR360	Brother DR360 Laser Cartridge Drum Unit	http://www.comboink.com/v/vspfiles/photos/original/DRUM-Brother-DR360.jpg	http://www.comboink.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR360&utm_source=adroll&utm_medium=CPC&utm_campaign=liquidads	36.9900	Brother DR360 Laser Cartridge Drum Unit	Electronics > Print, Copy, Scan & Fax Accessories > Printer Accessories > Printer Consumables > Toner & Inkjet Cartridges > Printer Drum Kits	Order your ink & toner cartridges at Comboink.com & save up to 80% instantly! Enjoy Free Shipping on any order $50 or more
DRUM-Brother-DR400	Brother DR400 Laser Cartridge Drum Unit	http://www.comboink.com/v/vspfiles/photos/original/DRUM-Brother-DR400.jpg	http://www.comboink.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR400&utm_source=adroll&utm_medium=CPC&utm_campaign=liquidads	41.9900	Brother DR400 Laser Cartridge Drum Unit	Electronics > Print, Copy, Scan & Fax Accessories > Printer Accessories > Printer Consumables > Toner & Inkjet Cartridges > Printer Drum Kits	Order your ink & toner cartridges at Comboink.com & save up to 80% instantly! Enjoy Free Shipping on any order $50 or more
DRUM-Brother-DR420	Brother DR420 Laser Cartridge Drum Unit	http://www.comboink.com/v/vspfiles/photos/original/DRUM-Brother-DR420.jpg	http://www.comboink.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR420&utm_source=adroll&utm_medium=CPC&utm_campaign=liquidads	36.9900	Brother DR420 Laser Cartridge Drum Unit	Electronics > Print, Copy, Scan & Fax Accessories > Printer Accessories > Printer Consumables > Toner & Inkjet Cartridges > Printer Drum Kits	Order your ink & toner cartridges at Comboink.com & save up to 80% instantly! Enjoy Free Shipping on any order $50 or more
DRUM-Brother-DR500	Brother DR500 Laser Cartridge Drum Unit	http://www.comboink.com/v/vspfiles/photos/original/DRUM-Brother-DR500.jpg	http://www.comboink.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR500&utm_source=adroll&utm_medium=CPC&utm_campaign=liquidads	41.9900	Brother DR500 Laser Cartridge Drum Unit	Electronics > Print, Copy, Scan & Fax Accessories > Printer Accessories > Printer Consumables > Toner & Inkjet Cartridges > Printer Drum Kits	Order your ink & toner cartridges at Comboink.com & save up to 80% instantly! Enjoy Free Shipping on any order $50 or more
DRUM-Brother-DR510	Brother DR510 Laser Cartridge Drum Unit	http://www.comboink.com/v/vspfiles/photos/original/DRUM-Brother-DR510.jpg	http://www.comboink.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR510&utm_source=adroll&utm_medium=CPC&utm_campaign=liquidads	41.9900	Brother DR510 Laser Cartridge Drum Unit	Electronics > Print, Copy, Scan & Fax Accessories > Printer Accessories > Printer Consumables > Toner & Inkjet Cartridges > Printer Drum Kits	Order your ink & toner cartridges at Comboink.com & save up to 80% instantly! Enjoy Free Shipping on any order $50 or more
DRUM-Brother-DR520	Brother DR520 Laser Cartridge Drum Unit	http://www.comboink.com/v/vspfiles/photos/original/DRUM-Brother-DR520.jpg	http://www.comboink.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR520&utm_source=adroll&utm_medium=CPC&utm_campaign=liquidads	41.9900	Brother DR520 Laser Cartridge Drum Unit	Electronics > Print, Copy, Scan & Fax Accessories > Printer Accessories > Printer Consumables > Toner & Inkjet Cartridges > Printer Drum Kits	Order your ink & toner cartridges at Comboink.com & save up to 80% instantly! Enjoy Free Shipping on any order $50 or more
