Category	Brand	Title	Description	Product URL	Image URL	Unique ID	Availability	Condition	Ship Weight	Ship Cost	Bid	Promo Text	GTIN	Current Price	Additional Image URL	Original Price	ASIN	MPN	Gender	Age Group	Size	Color	Material	Pattern	Item Group ID
444	HP - C9369WN	Replacement for Hewlett Packard C9369WN (HP 99 Photo) Ink Cartridge	Product InfoHP 99 - C9369WN (Compatible) Photo Color Ink CartridgeThis Remanufactured HP 99 Photo Ink Cartridge is an original HP inkjet cartridge which has been through one cycle of service and has been recharged. It has been thoroughly cleaned along with the printhead nozzles. Then it was inspected for any possible shell leakage, tested on the operation of all electrical circuitry and finally run through an actual print test.This photo ink cartridge contains 1/3 black, 1/3 light cyan and a 1/3 light magenta. You replace your black cartridge with this photo color inkjet cartridge. It goes in the black slot, not the color slot. When you have the photo and regular color cartridge in your printer it produces better looking photos. Instead of only having four colors to print with (black, cyan, magenta, and yellow) it now has six colors. Photo inkjet cartridges are great for people who print lots of photos or color documents but not recommended for people who print mainly text. This is because the photo cartridge has about a third as much black ink in it compared with a black cartridge. Once this ink is out the cartridge has to be replaced. Even if the light cyan and light magenta sections are full of ink you will need a new cartridge.Product SpecificationModel NameC9369WNProduct typeReplacement Inkjet CartridgeColorPhoto ColorContents13 mlCartridge duty cycle130 Page Yield @ 5%Quantity1 Inkjet Cartridge Compatible Printers with HP C9369WN Replacement Inkjet CartridgeHP DesignJet 5940HP DesignJet 5940xiHP DeskJet 460HP DeskJet 460cHP DeskJet 460cbHP DeskJet 460wbtHP DeskJet 460wfHP DeskJet 5420HP DeskJet 5420vHP DeskJet 5440HP DeskJet 5440vHP DeskJet 5440xiHP DeskJet 5442HP DeskJet 5443HP DeskJet 5740HP DeskJet 5740xiHP DeskJet 5743HP DeskJet 5745HP DeskJet 5748HP DeskJet 5940HP DeskJet 5940xiHP DeskJet 600CHP DeskJet 6520HP DeskJet 6520xiHP DeskJet 6540HP DeskJet 6540dtHP DeskJet 6540xiHP DeskJet 6620HP DeskJet 6620xiHP DeskJet 6830HP DeskJet 6830vHP DeskJet 6840HP DeskJet 6840dtHP DeskJet 6840xiHP DeskJet 6940HP DeskJet 6940dtHP DeskJet 6980HP DeskJet 6980dtHP DeskJet 6988HP DeskJet 6988dtHP DeskJet 9800HP DeskJet 9800dHP DeskJet D4145HP DeskJet D4155HP DeskJet D4160HP DeskJet D4260HP DeskJet D4263HP DeskJet D4268HP DeskJet D4360HP DeskJet D4363HP DeskJet D4368HP OfficeJet 6200HP OfficeJet 6210HP OfficeJet 6210vHP OfficeJet 6210xiHP OfficeJet 6213HP OfficeJet 6215HP OfficeJet 6310HP OfficeJet 6310vHP OfficeJet 6310xiHP OfficeJet 7210HP OfficeJet 7210vHP OfficeJet 7210xiHP OfficeJet 7310HP OfficeJet 7310xiHP OfficeJet 7410HP OfficeJet 7410xiHP OfficeJet J5725HP OfficeJet J5730HP OfficeJet J5735HP OfficeJet J5738HP OfficeJet J5740HP OfficeJet J5750HP OfficeJet J5780HP OfficeJet J5783HP OfficeJet J5785HP OfficeJet J5788HP OfficeJet J5790HP OfficeJet J6405HP OfficeJet J6410HP OfficeJet J6413HP OfficeJet J6415HP OfficeJet J6424HP OfficeJet J6450HP OfficeJet J6480HP OfficeJet J6488HP PhotoSmart 2570HP PhotoSmart 2575HP PhotoSmart 2575vHP PhotoSmart 2575xiHP PhotoSmart 2605HP PhotoSmart 2608HP PhotoSmart 2610HP PhotoSmart 2610vHP PhotoSmart 2610xiHP PhotoSmart 2613HP PhotoSmart 2710HP PhotoSmart 2710xiHP PhotoSmart 7850HP PhotoSmart 8050 HP PhotoSmart 8150HP PhotoSmart 8150vHP PhotoSmart 8150xiHP PhotoSmart 8450HP PhotoSmart 8450xiHP PhotoSmart 8750HP PhotoSmart 8750gpHP PhotoSmart 8750xiHP PhotoSmart 8753HP PhotoSmart 8758HP PhotoSmart B8300HP PhotoSmart B8330HP PhotoSmart B8338HP PhotoSmart B8350HP PhotoSmart B8353HP PhotoSmart C3100HP PhotoSmart C3110HP PhotoSmart C3125HP PhotoSmart C3135HP PhotoSmart C3140HP PhotoSmart C3150HP PhotoSmart C3170HP PhotoSmart C3173HP PhotoSmart C3175HP PhotoSmart C3180HP PhotoSmart C3183HP PhotoSmart C3188HP PhotoSmart C3190HP PhotoSmart C3193HP PhotoSmart C3194HP PhotoSmart C4100HP PhotoSmart C4110HP PhotoSmart C4140HP PhotoSmart C4150HP PhotoSmart C4180HP PhotoSmart C4183HP PhotoSmart C4188HP PhotoSmart C4200HP PhotoSmart C4205HP PhotoSmart C4210HP PhotoSmart C4225HP PhotoSmart C4235HP PhotoSmart C4240HP PhotoSmart C4250HP PhotoSmart C4270HP PhotoSmart C4272HP PhotoSmart C4273HP PhotoSmart C4275HP PhotoSmart C4280HP PhotoSmart C4283HP PhotoSmart C4285HP PhotoSmart C4288HP PhotoSmart C4293HP PhotoSmart C4294HP PhotoSmart C4300HP PhotoSmart C4340HP PhotoSmart C4342HP PhotoSmart C4343HP PhotoSmart C4344HP PhotoSmart C4345HP PhotoSmart C4348HP PhotoSmart C4380HP PhotoSmart C4382HP PhotoSmart C4383HP PhotoSmart C4384HP PhotoSmart C4385HP PhotoSmart C4400HP PhotoSmart C4410HP PhotoSmart C4424HP PhotoSmart C4435HP PhotoSmart C4440HP PhotoSmart C4450HP PhotoSmart C4470HP PhotoSmart C4472HP PhotoSmart C4473HP PhotoSmart C4475HP PhotoSmart C4480HP PhotoSmart C4483HP PhotoSmart C4485HP PhotoSmart C4488HP PhotoSmart C4493HP PhotoSmart C4494HP PhotoSmart C4500HP PhotoSmart C4524HP PhotoSmart C4540HP PhotoSmart C4550HP PhotoSmart C4575HP PhotoSmart C4580HP PhotoSmart C4583HP PhotoSmart C4585HP PhotoSmart C4588HP PhotoSmart C4599HP PhotoSmart C5200HP PhotoSmart C5225HP PhotoSmart C5240HP PhotoSmart C5250HP PhotoSmart C5270HP PhotoSmart C5273HP PhotoSmart C5275HP PhotoSmart C5280HP PhotoSmart C5283HP PhotoSmart C5288HP PhotoSmart C5290HP PhotoSmart C5293HP PhotoSmart C5500HP PhotoSmart C5540HP PhotoSmart C5550HP PhotoSmart C5580HP PhotoSmart D5060HP PhotoSmart D5065HP PhotoSmart D5069HP PhotoSmart D5145HP PhotoSmart D5155HP PhotoSmart D5160HP PhotoSmart D5345HP PhotoSmart D5360HP PhotoSmart D5363HP PhotoSmart D5368HP PSC 1507HP PSC 1510HP PSC 1510vHP PSC 1510xiHP PSC 1600HP PSC 1610HP PSC 1610vHP PSC 1610xiHP PSC 2350HP PSC 2355HP PSC 2355vHP PSC 2355xiNote: The product image is for demonstrating purpose only. Actual product appearance may vary.	http://www.comboink.com/ProductDetails.asp?ProductCode=INK-HP-C9369WN&gdftrk=gdfV28175_a_7c2749_a_7c11695_a_7cINK_d_HP_d_C9369WN	http://www.comboink.com/v/vspfiles/photos/INK-HP-C9369WN-2T.jpg	INK-HP-C9369WN	In-Stock	New	0.13125				829160306780	8.99				C9369WN							
444	HP - C9425A	Replacement for Hewlett Packard C9425A (HP 85 Cyan) Ink Cartridge	Product InfoHewlett Packard (HP 85) Cyan Replacement Printer Ink CartridgeWe carry a variety of Replacement Inkjet Cartridge models at the discount price with genuine quality and satisfaction. This high quality inkjet cartridge was professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that this Inkjet Cartridge will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel NameC9425AProduct typeReplacement Inkjet CartridgeColorCyanContents28 mlCartridge duty cycleN/AQuantity1 Inkjet Cartridge Compatible Printers with HP C9425A Replacement Inkjet CartridgeHP DesignJet 130HP DesignJet 130gpHP DesignJet 130nrHP DesignJet 30HP DesignJet 30nHP DesignJet 90HP DesignJet 90gpHP DesignJet 90rNote: The product image is for demonstrating purpose only. Actual product appearance may vary.	http://www.comboink.com/ProductDetails.asp?ProductCode=INK-HP-C9425A&gdftrk=gdfV28175_a_7c2749_a_7c11695_a_7cINK_d_HP_d_C9425A	http://www.comboink.com/v/vspfiles/photos/INK-HP-C9425A-2T.jpg	INK-HP-C9425A	In-Stock	New	0.154375				00808736670852	11.95				C9425A							
444	ComboInk	Remanufactured Epson 48 Series (T048 Bulk Set of 15 Packs) Inkjet Cartridges for Stylus Photo Printe	Product InfoWe carry a variety of Remanufactured Inkjet Cartridges models at the discount price with genuine quality and satisfaction. These high quality inkjet cartridges were professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that these Inkjet Cartridges will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel NameCombo Pack of T048Product typeRemanufactured Inkjet CartridgesColor5 Black, 2 Cyan, 2 Magenta, 2 Yellow, 2 Light Cyan, 2 Light MagentaContents15 ml eachCartridge duty cycle400 pages yield @5%Quantity15 Inkjet Cartridges Compatible Printers with Epson T048 Remanufactured Inkjet CartridgesEpson Stylus Photo R200Epson Stylus Photo R220Epson Stylus Photo R300Epson Stylus Photo R300MEpson Stylus Photo R320Epson Stylus Photo R340Epson Stylus Photo RX500Epson Stylus Photo RX600Epson Stylus Photo RX620Epson Stylus Photo R330MEpson Stylus Photo R500Epson Stylus Photo R600Note: The product image is for demonstrating purpose only. Actual product appearance may vary.	http://www.comboink.com/ProductDetails.asp?ProductCode=ZINK-Epson-T048-Combo15&gdftrk=gdfV28175_a_7c2749_a_7c11695_a_7cZINK_d_Epson_d_T048_d_Combo15	http://www.comboink.com/v/vspfiles/photos/ZINK-Epson-T048-Combo15-2T.jpg	ZINK-Epson-T048-Combo15	In-Stock	Refurbished	1.648125					51.75				T048-Combo15							
444	Epson - T5846	Remanufactured Epson PictureMate 200/240/280 Ink Cartridge Glossy Color - replace T5846	Product InfoEpson T5846 (Compatible) Glossy Color Ink Cartridge for PictureMateWe carry a variety of Remanufactured Inkjet Cartridge models at the discount price with genuine quality and satisfaction. This high quality inkjet cartridge was professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that this Inkjet Cartridge will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel NameT5846Product typeRemanufactured Inkjet CartridgeColorGlossy ColorContentsN/A mlCartridge duty cycle150 Page Yield @ 5%Quantity1 Inkjet Cartridge Compatible Printers with Epson T5846 Remanufactured Inkjet CartridgeEpson PictureMate Charm PM 225Epson PictureMate Dash PM 260Epson PictureMate Flash PM 280Epson PictureMate Pal PM 200Epson PictureMate Show PM 300Epson PictureMate Snap PM 240Epson PictureMate Zoom PM 290Note: The product image is for demonstrating purpose only. Actual product appearance may vary.	http://www.comboink.com/ProductDetails.asp?ProductCode=INK-Epson-T5846&gdftrk=gdfV28175_a_7c2749_a_7c11695_a_7cINK_d_Epson_d_T5846	http://www.comboink.com/v/vspfiles/photos/INK-Epson-T5846-2T.jpg	INK-Epson-T5846	In-Stock	Refurbished	0.271875					10.99				T5846							
444	HP - 92274A	Replacement Black Laser Toner Cartridge for Hewlett Packard (HP) 92274A (74A)	Product InfoReplacement Hewlett Packard HP 92274A (74A) Black Laser Toner CartridgeWe carry a variety of Replacement Toner Cartridge models at the discount price with genuine quality and satisfaction. This high quality inkjet cartridge was professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that this Toner Cartridge will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel Name92274AProduct typeReplacement Toner CartridgeColorBlackContentsN/A mlCartridge duty cycle3,350 Page Yield @ 5%Quantity1 Toner Cartridge Compatible Printers with HP 92274A Replacement Toner CartridgeHP LaserJet 4LHP LaserJet 4MLHP LaserJet 4MPHP LaserJet 4PApple Laserwriter 4/600Canon LBP-430Canon LBP-430WCanon LBP-4U Canon LBP-PXCanon LBP-PX IIApple Personal LaserWriter 300Apple Personal LaserWriter 320Note: The product image is for demonstrating purpose only. Actual product appearance may vary.	http://www.comboink.com/ProductDetails.asp?ProductCode=TONER-HP-92274A&gdftrk=gdfV28175_a_7c2749_a_7c11695_a_7cTONER_d_HP_d_92274A	http://www.comboink.com/v/vspfiles/photos/TONER-HP-92274A-2T.jpg	TONER-HP-92274A	In-Stock	New	10					32.99				92274A							
444	Brother - DR300	Compatible Brother DR300 Laser Toner Drum Unit for Brother HL-1040 / HL-1050 / HL-1060 / HL-1070 Las	Product InfoCompatible Brother DR300 Laser Toner Drum Unit for Brother HL-1040 / HL-1050 / HL-1060 / HL-1070 Laser Toner PrintersWe carry a variety of New Compatible Drum models at the discount price with genuine quality and satisfaction. This high quality inkjet cartridge was professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that this Drum will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel NameDR300Product typeNew Compatible DrumColorDrum UnitContentsN/A mlCartridge duty cycle20,000 Page Yield @ 5%Quantity1 Drum Compatible Printers with Brother DR300 New Compatible DrumBrother HL-1040Brother HL-1050Brother HL-1060Brother HL-1070Note: The product image is for demonstrating purpose only. Actual product appearance may vary.	http://www.comboink.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR300&gdftrk=gdfV28175_a_7c2749_a_7c11695_a_7cDRUM_d_Brother_d_DR300	http://www.comboink.com/v/vspfiles/photos/DRUM-Brother-DR300-2T.jpg	DRUM-Brother-DR300	In-Stock	New	10					74.99				DR300							
444	Brother - DR350	Compatible Brother DR350 Laser cartridge Drum Unit (DR-350)	Product InfoBrother DR350 Laser Cartridge Drum UnitWe carry a variety of New Compatible Drum models at the discount price with genuine quality and satisfaction. This high quality inkjet cartridge was professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that this Drum will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel NameDR350Product typeNew Compatible DrumColorDrum UnitContentsN/A mlCartridge duty cycle12,000 Page Yield @ 5%Quantity1 Drum Compatible Printers with Brother DR350 New Compatible DrumBrother DCP-7010Brother DCP-7020Brother DCP-7025Brother HL-2030Brother HL-2030RBrother HL-2040Brother HL-2040NBrother HL-2040RBrother HL-2070NBrother HL-2070NRBrother Intellifax 2820Brother Intellifax 2850Brother Intellifax 2910Brother Intellifax 2920Brother MFC-7220Brother MFC-7225NBrother MFC-7420Brother MFC-7820DBrother MFC-7820NNote: The product image is for demonstrating purpose only. Actual product appearance may vary.	http://www.comboink.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR350&gdftrk=gdfV28175_a_7c2749_a_7c11695_a_7cDRUM_d_Brother_d_DR350	http://www.comboink.com/v/vspfiles/photos/DRUM-Brother-DR350-2T.jpg	DRUM-Brother-DR350	In-Stock	New	10					36.99				DR350							
444	Brother - DR400	Brother DR400 Compatible Drum Unit for Brother HL-1030,FAX-5750	Product InfoCompatible Brother DR400 Laser Cartridge Drum UnitWe carry a variety of New Compatible Drum models at the discount price with genuine quality and satisfaction. This high quality inkjet cartridge was professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that this Drum will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel NameDR400Product typeNew Compatible DrumColorDrum UnitContentsN/A mlCartridge duty cycle20,000 Page Yield @ 5%Quantity1 Drum Compatible Printers with Brother DR400 New Compatible DrumBrother DCP 1200Brother DCP 1400Brother FAX-4750Brother FAX-5750Brother FAX-8350PBrother FAX-8360PBrother FAX-8750PBrother HL-1030Brother HL-1230Brother HL-1240Brother HL-1250Brother HL-1270NBrother HL-1430Brother HL-1435Brother HL-1440Brother HL-1450Brother HL-1470NBrother HL-P2500Brother Intellifax 4100Brother Intellifax 4100eBrother Intellifax 4750Brother Intellifax 4750eBrother Intellifax 5750Brother Intellifax 5750eBrother Intellifax 5750pPitney Bowes Laser Printer 1630Brother MFC-1260Brother MFC-1270Brother MFC-2500Brother MFC-8300Brother MFC-850Brother MFC-8500Brother MFC-8600Brother MFC-8700Brother MFC-9600Brother MFC-9650Brother MFC-9660Brother MFC-9660NBrother MFC-9700Brother MFC-9750Brother MFC-9760Brother MFC-9800Brother MFC-9850Brother MFC-9860Brother MFC-9870Brother MFC-9880Brother MFC-9880NBrother MFC-P2500Brother PPF-4750Brother PPF-5750Note: The product image is for demonstrating purpose only. Actual product appearance may vary.	http://www.comboink.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR400&gdftrk=gdfV28175_a_7c2749_a_7c11695_a_7cDRUM_d_Brother_d_DR400	http://www.comboink.com/v/vspfiles/photos/DRUM-Brother-DR400-2T.jpg	DRUM-Brother-DR400	In-Stock	New	10					41.99				DR400							
444	Brother - DR500	Compatible Brother DR500 Laser cartridge Drum Unit (DR-500)	Product InfoCompatible Brother DR500 Laser Cartridge Drum UnitWe carry a variety of New Compatible Drum models at the discount price with genuine quality and satisfaction. This high quality inkjet cartridge was professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that this Drum will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel NameDR500Product typeNew Compatible DrumColorDrum UnitContentsN/A mlCartridge duty cycle20,000 Page Yield @ 5%Quantity1 Drum Compatible Printers with Brother DR500 New Compatible DrumBrother DCP-8020Brother DCP-8025DBrother DCP-8025DNBrother HL-1650Brother HL-1650LTBrother HL-1650NBrother HL-1650N PlusBrother HL-1670nBrother HL-1670NLTBrother HL-1850Brother HL-1850LTBrother HL-1870nBrother HL-1870NLTBrother HL-5040Brother HL-5050Brother HL-5050LTBrother HL-5070DNBrother HL-5070nBrother HL-5070NLTBrother HL-8420Brother MFC-8420Brother MFC-8820Brother MFC-8820DBrother MFC-8820DNNote: The product image is for demonstrating purpose only. Actual product appearance may vary.	http://www.comboink.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR500&gdftrk=gdfV28175_a_7c2749_a_7c11695_a_7cDRUM_d_Brother_d_DR500	http://www.comboink.com/v/vspfiles/photos/DRUM-Brother-DR500-2T.jpg	DRUM-Brother-DR500	In-Stock	New	10					41.99				DR500							
444	Brother - DR510	Compatible Brother DR510 Laser cartridge Drum Unit (DR-510)	Product InfoCompatible Brother DR510 Laser Cartridge Drum UnitWe carry a variety of New Compatible Drum models at the discount price with genuine quality and satisfaction. This high quality inkjet cartridge was professionally re-engineered in a manufacturing facility that uses state of the art processes to insure that this Drum will print as well as the original.  It will be ideal for professional images, photo prints, and quality output.Product SpecificationModel NameDR510Product typeNew Compatible DrumColorDrum UnitContentsN/A mlCartridge duty cycle20,000 Page Yield @ 5%Quantity1 Drum Compatible Printers with Brother DR510 New Compatible DrumBrother DCP-8040Brother DCP-8040DBrother DCP-8045DBrother DCP-8045DNBrother HL-5100Brother HL-5130Brother HL-5140Brother HL-5140LTBrother HL-5150DBrother HL-5150DLTBrother HL-5170DBrother HL-5170DLTBrother HL-5170DNBrother HL-5170DNLTBrother HL-5170NBrother MFC-8120Brother MFC-8220Brother MFC-8440Brother MFC-8440DBrother MFC-8640DBrother MFC-8840Brother MFC-8840DBrother MFC-8840DNNote: The product image is for demonstrating purpose only. Actual product appearance may vary.	http://www.comboink.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR510&gdftrk=gdfV28175_a_7c2749_a_7c11695_a_7cDRUM_d_Brother_d_DR510	http://www.comboink.com/v/vspfiles/photos/DRUM-Brother-DR510-2T.jpg	DRUM-Brother-DR510	In-Stock	New	10					41.99				DR510							
