Record #,Problem code,Problem message,Category,Manufacturer,Product Name,Merchant SKU,Product URL,Price,MPN,UPC
2072,229,Invalid Condition,69.9900,http://www.compandsave.com/v/vspfiles/photos/original/ZTONER-HP-Q2613X-Combo2.jpg,43.9800,ZTONER-HP-Q2613X-Combo2,,,HewlettPackardHPQ2613X13XHYBlackToner,
2084,229,Invalid Condition,74.9900,http://www.compandsave.com/v/vspfiles/photos/original/ZTONER-Samsung-CLP-300-Combo4.jpg,39.9600,ZTONER-Samsung-CLP-300-Combo4,,,SamsungCLP300Combo4LaserTonerCartridge,
2070,229,Invalid Condition,120.2500,http://www.compandsave.com/v/vspfiles/photos/original/ZTONER-HP-Q2612A-Combo2.jpg,37.9800,ZTONER-HP-Q2612A-Combo2,,,HPQ261212A2PackHYBlackTonerCartridge,
2056,229,Invalid Condition,649.9000,http://www.compandsave.com/v/vspfiles/photos/original/ZTONER-HP-CF280A-Combo10.jpg,379.9000,ZTONER-HP-CF280A-Combo10,,,HewlettPackardHPCF280A10PackBlacktoner,
2018,229,Invalid Condition,259.9600,http://www.compandsave.com/v/vspfiles/templates/10/images/nophoto.gif,159.9600,ZTONER-Dell-B1260-Combo4,,,DellB1260BlackLaserTonerCartridge4Pack,
2038,229,Invalid Condition,269.9900,http://www.compandsave.com/v/vspfiles/photos/original/ZTONER-HP-CB540-3A-Combo4.jpg,149.9600,ZTONER-HP-CB540-3A-Combo4,,,HewlettPackardHPCB5403ACombo4LaserToner,
2003,229,Invalid Condition,129.9900,http://www.compandsave.com/v/vspfiles/photos/original/ZTONER-Canon-L50-Combo2.jpg,59.9800,ZTONER-Canon-L50-Combo2,,,CanonL50BlackLaserTonerCartridge2Pack,
2043,229,Invalid Condition,521.9900,http://www.compandsave.com/v/vspfiles/photos/original/ZTONER-HP-CE260A-Combo4.jpg,369.9600,ZTONER-HP-CE260A-Combo4,,,HewlettPackardHPCE260A3A4PKLaserCartridge,
2075,229,Invalid Condition,89.9900,http://www.compandsave.com/v/vspfiles/photos/original/ZTONER-HP-Q5949X-Combo2.jpg,53.9800,ZTONER-HP-Q5949X-Combo2,,,HewlettPackardHPQ5949X49XHYLaserToner,
2045,229,Invalid Condition,155.9900,http://www.compandsave.com/v/vspfiles/photos/original/ZTONER-HP-CE278A-Combo2.jpg,53.9800,ZTONER-HP-CE278A-Combo2,,,HewlettPackardHP78A2PKBlackTonerCartridge,
2083,229,Invalid Condition,204.9900,http://www.compandsave.com/v/vspfiles/photos/original/ZTONER-Samsung-CLP-300-Combo12.jpg,95.8800,ZTONER-Samsung-CLP-300-Combo12,,,SamsungCLP3003SetsLaserTonerCartridge,
2040,229,Invalid Condition,272.9900,http://www.compandsave.com/v/vspfiles/photos/original/ZTONER-HP-CC364A-Combo2.jpg,99.9000,ZTONER-HP-CC364A-Combo2,,,HewlettPackardHPCC364A2PackBlackCartridge,
2006,229,Invalid Condition,89.9900,http://www.compandsave.com/v/vspfiles/photos/original/ZTONER-Canon-X25-Combo2.jpg,47.9800,ZTONER-Canon-X25-Combo2,,,CanonX25X25BlackLaserTonerCartridge,
2026,229,Invalid Condition,829.9000,http://www.compandsave.com/v/vspfiles/photos/original/ZTONER-HP-C7115X-Combo10.jpg,199.9000,ZTONER-HP-C7115X-Combo10,,,HewlettPackardHP15XC7115X10PackCartridges,
2008,229,Invalid Condition,96.9900,http://www.compandsave.com/v/vspfiles/photos/original/ZTONER-Dell-1320c-Combo4.jpg,53.9600,ZTONER-Dell-1320c-Combo4,,,Dell1320c1320HighYieldLaserTonerCartridge,
2052,229,Invalid Condition,339.9600,http://www.compandsave.com/v/vspfiles/photos/original/ZTONER-HP-CE505A-Combo4.jpg,123.9600,ZTONER-HP-CE505A-Combo4,,,HewlettPackardHPCE505A05A4PackLaserToner,
